# Filename: ILATM2_20171125_202918_smooth_nadir3seg_50pt.csv
# Input filename: ILATMW1B_20171125_202918.atm6AT6.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 171125_aa_l12_cfm_itrf14_08jan18_sawh_roth_amu2
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
73769.75, -72.857126, 269.183969, 302.6928, 0.0042099, -0.0634434, 32.18, 1244, 31, 538, 1
73769.75, -72.854446, 269.173864, 315.4280, 0.0171899, -0.0012320, 28.83, 355, 14, 92, 2
73769.75, -72.851766, 269.163760, 322.1455, -0.0251330, -0.0275094, 79.85, 1115, 16, -353, 3
73769.75, -72.853892, 269.171775, 316.4096, 0.0275680, 0.0098658, 8.16, 65, 0, 0, 0
73770.00, -72.856915, 269.184728, 301.2811, 0.0041523, -0.0637833, 31.46, 1160, 15, 541, 1
73770.00, -72.854228, 269.174600, 315.7726, 0.0213939, -0.0014342, 42.53, 486, 14, 94, 2
73770.00, -72.851540, 269.164473, 321.3778, -0.0332707, -0.0285832, 74.26, 1095, 31, -353, 3
73770.00, -72.853663, 269.172472, 317.3127, 0.0272508, 0.0093899, 8.04, 94, 0, 0, 0
73770.25, -72.856701, 269.185493, 299.9415, 0.0069252, -0.0620681, 33.40, 1190, 6, 543, 1
73770.25, -72.854010, 269.175344, 315.9902, 0.0198083, -0.0089903, 63.49, 478, 0, 96, 2
73770.25, -72.851319, 269.165196, 320.3120, -0.0369524, -0.0267814, 74.02, 1103, 23, -352, 3
73770.25, -72.853434, 269.173171, 318.1299, 0.0231984, 0.0056992, 9.80, 90, 0, 0, 0
73770.50, -72.856487, 269.186252, 298.7973, 0.0088156, -0.0624456, 34.93, 1211, 3, 546, 1
73770.50, -72.853793, 269.176088, 316.1505, 0.0161599, -0.0159226, 76.15, 476, 0, 98, 2
73770.50, -72.851099, 269.165923, 319.2001, -0.0438513, -0.0271417, 64.35, 1100, 18, -350, 3
73770.50, -72.853205, 269.173869, 318.7289, 0.0170117, -0.0002325, 13.68, 79, 0, 0, 0
73770.75, -72.856276, 269.187020, 297.7143, 0.0121814, -0.0621158, 36.67, 1272, 7, 549, 1
73770.75, -72.853579, 269.176841, 316.0894, 0.0140999, -0.0190200, 96.30, 523, 0, 100, 2
73770.75, -72.850882, 269.166663, 317.7900, -0.0459813, -0.0250007, 61.43, 1102, 9, -348, 3
73770.75, -72.852976, 269.174567, 318.9907, 0.0046611, -0.0077624, 11.58, 87, 2, 0, 0
73771.00, -72.856064, 269.187774, 296.7910, 0.0168372, -0.0605899, 38.31, 1391, 6, 552, 1
73771.00, -72.853363, 269.177587, 315.7843, 0.0054482, -0.0260354, 114.95, 522, 0, 102, 2
73771.00, -72.850663, 269.167401, 316.1607, -0.0508648, -0.0265460, 56.69, 1133, 1, -347, 3
73771.00, -72.852748, 269.175265, 318.7253, -0.0062918, -0.0137066, 12.41, 98, 1, 0, 0
73771.25, -72.855844, 269.188516, 296.0939, 0.0228640, -0.0580692, 41.58, 1444, 5, 553, 1
73771.25, -72.853143, 269.178321, 315.2446, -0.0002437, -0.0271191, 137.46, 476, 0, 104, 2
73771.25, -72.850442, 269.168125, 314.2691, -0.0563463, -0.0297852, 51.57, 1177, 0, -345, 3
73771.25, -72.852519, 269.175963, 318.0073, -0.0199814, -0.0186871, 14.90, 92, 0, 0, 0
73771.50, -72.855627, 269.189250, 295.5634, 0.0291940, -0.0546033, 43.15, 1464, 4, 555, 1
73771.50, -72.852923, 269.179050, 314.4486, -0.0145459, -0.0346862, 152.52, 475, 0, 105, 2
73771.50, -72.850219, 269.168850, 312.0761, -0.0615985, -0.0336131, 49.03, 1200, 0, -344, 3
73771.50, -72.852290, 269.176660, 316.7616, -0.0369334, -0.0257402, 13.94, 80, 0, 0, 0
73771.75, -72.855403, 269.189987, 295.2362, 0.0342362, -0.0518428, 44.28, 1453, 12, 556, 1
73771.75, -72.852702, 269.179780, 313.2596, -0.0204037, -0.0355460, 160.93, 504, 0, 107, 2
73771.75, -72.850000, 269.169573, 309.6548, -0.0660634, -0.0373246, 47.79, 1203, 0, -343, 3
73771.75, -72.852061, 269.177359, 314.9670, -0.0527664, -0.0300691, 12.31, 83, 2, 0, 0
73772.00, -72.855174, 269.190698, 295.0863, 0.0374891, -0.0502404, 45.81, 1401, 28, 557, 1
73772.00, -72.852473, 269.180482, 311.7601, -0.0318541, -0.0378200, 163.26, 526, 0, 107, 2
73772.00, -72.849772, 269.170267, 306.9570, -0.0704789, -0.0413908, 46.37, 1188, 0, -343, 3
73772.00, -72.851832, 269.178056, 312.7366, -0.0643818, -0.0332865, 9.97, 87, 1, 0, 0
73772.25, -72.854946, 269.191395, 295.0125, 0.0383824, -0.0507532, 52.72, 1353, 42, 557, 1
73772.25, -72.852241, 269.181167, 309.9469, -0.0413108, -0.0381898, 157.11, 522, 0, 106, 2
73772.25, -72.849536, 269.170938, 304.0106, -0.0747282, -0.0453435, 47.08, 1169, 0, -344, 3
73772.25, -72.851602, 269.178753, 310.1668, -0.0738898, -0.0371495, 9.63, 88, 0, 0, 0
73772.50, -72.854717, 269.192099, 294.8287, 0.0365848, -0.0535732, 68.65, 1295, 46, 557, 1
73772.50, -72.852009, 269.181855, 307.7928, -0.0555730, -0.0427719, 141.87, 534, 1, 106, 2
73772.50, -72.849301, 269.171612, 300.8715, -0.0784417, -0.0489774, 48.14, 1144, 0, -345, 3
73772.50, -72.851373, 269.179451, 307.3356, -0.0800541, -0.0395609, 8.40, 96, 1, 0, 0
73772.75, -72.854493, 269.192822, 294.1014, 0.0287716, -0.0595709, 100.51, 1216, 23, 558, 1
73772.75, -72.851781, 269.182558, 305.2770, -0.0656055, -0.0449232, 123.64, 554, 2, 106, 2
73772.75, -72.849069, 269.172295, 297.5812, -0.0816786, -0.0522173, 51.48, 1143, 0, -346, 3
73772.75, -72.851144, 269.180148, 304.2874, -0.0850640, -0.0422225, 7.24, 98, 0, 0, 0
73773.00, -72.854266, 269.193535, 293.1584, 0.0227411, -0.0647050, 133.74, 1159, 6, 559, 1
73773.00, -72.851551, 269.183253, 302.4770, -0.0723251, -0.0450598, 109.12, 511, 3, 106, 2
73773.00, -72.848836, 269.172971, 294.1483, -0.0871168, -0.0567609, 57.74, 1150, 0, -347, 3
73773.00, -72.850915, 269.180844, 301.0535, -0.0898158, -0.0446334, 7.78, 89, 1, 0, 0
73773.25, -72.854041, 269.194245, 292.0406, 0.0108730, -0.0770972, 154.25, 1198, 7, 559, 1
73773.25, -72.851321, 269.183948, 299.5641, -0.0811679, -0.0463310, 86.70, 448, 8, 106, 2
73773.25, -72.848601, 269.173652, 290.5296, -0.0912679, -0.0597050, 62.39, 1167, 0, -347, 3
73773.25, -72.850685, 269.181542, 297.6201, -0.0955259, -0.0471867, 7.01, 87, 1, 0, 0
73773.50, -72.853813, 269.194951, 290.8881, 0.0129131, -0.0796605, 167.99, 1242, 18, 560, 1
73773.50, -72.851089, 269.184635, 296.6009, -0.0908356, -0.0473489, 55.46, 408, 20, 106, 2
73773.50, -72.848364, 269.174319, 286.7850, -0.0944871, -0.0617016, 64.04, 1192, 0, -349, 3
73773.50, -72.850456, 269.182239, 294.0370, -0.0993994, -0.0483597, 7.26, 84, 0, 0, 0
73773.75, -72.853585, 269.195646, 289.5419, 0.0038711, -0.0935292, 178.20, 1292, 32, 560, 1
73773.75, -72.850855, 269.185313, 293.3675, -0.0938539, -0.0446700, 43.46, 443, 20, 105, 2
73773.75, -72.848125, 269.174981, 282.9361, -0.0955194, -0.0618428, 62.03, 1186, 0, -350, 3
73773.75, -72.850226, 269.182935, 290.3455, -0.1029882, -0.0486225, 7.39, 85, 0, 0, 0
73774.00, -72.853351, 269.196336, 287.4076, -0.0006283, -0.0992739, 200.85, 1350, 28, 559, 1
73774.00, -72.850617, 269.185979, 290.1381, -0.0921968, -0.0377045, 43.45, 458, 21, 103, 2
73774.00, -72.847883, 269.175622, 279.0429, -0.0960884, -0.0621316, 54.45, 1174, 0, -353, 3
73774.00, -72.849997, 269.183632, 286.5891, -0.1050678, -0.0475322, 7.16, 79, 1, 0, 0
73774.25, -72.853118, 269.197025, 285.1724, -0.0055720, -0.1067951, 211.59, 1375, 26, 559, 1
73774.25, -72.850379, 269.186646, 286.9389, -0.0915841, -0.0310048, 52.66, 493, 9, 102, 2
73774.25, -72.847640, 269.176267, 275.1314, -0.0926248, -0.0597792, 44.06, 1159, 5, -355, 3
73774.25, -72.849768, 269.184329, 282.8829, -0.1064456, -0.0424355, 9.26, 80, 0, 0, 0
73774.50, -72.852884, 269.197711, 282.5161, -0.0149310, -0.1174045, 213.77, 1384, 25, 558, 1
73774.50, -72.850140, 269.187305, 283.8992, -0.0914695, -0.0247073, 52.70, 537, 8, 100, 2
73774.50, -72.847395, 269.176899, 271.2711, -0.0865195, -0.0570045, 47.60, 1149, 1, -358, 3
73774.50, -72.849538, 269.185026, 279.2990, -0.1045327, -0.0341499, 9.64, 92, 2, 0, 0
73774.75, -72.852653, 269.198390, 279.7573, -0.0201319, -0.1261644, 193.10, 1393, 36, 558, 1
73774.75, -72.849902, 269.187970, 280.9461, -0.0928334, -0.0213149, 67.43, 543, 1, 99, 2
73774.75, -72.847151, 269.177549, 267.5358, -0.0775160, -0.0534871, 69.64, 1190, 5, -360, 3
73774.75, -72.849309, 269.185722, 275.9411, -0.1044600, -0.0245466, 12.89, 95, 1, 0, 0
73775.00, -72.852415, 269.199059, 276.8771, -0.0214909, -0.1326855, 161.26, 1337, 53, 556, 1
73775.00, -72.849661, 269.188623, 278.0211, -0.0935734, -0.0179509, 77.95, 528, 5, 97, 2
73775.00, -72.846906, 269.178187, 264.0735, -0.0652510, -0.0494139, 107.39, 1175, 0, -362, 3
73775.00, -72.849079, 269.186419, 272.8397, -0.1041854, -0.0137157, 11.72, 86, 2, 0, 0
73775.25, -72.852180, 269.199734, 274.0059, -0.0198650, -0.1375119, 124.47, 1230, 71, 555, 1
73775.25, -72.849422, 269.189283, 275.0832, -0.0948946, -0.0173799, 96.14, 510, 3, 95, 2
73775.25, -72.846664, 269.178833, 260.9136, -0.0505322, -0.0448441, 142.56, 1166, 0, -365, 3
73775.25, -72.848850, 269.187116, 269.9170, -0.1049291, -0.0072866, 9.71, 87, 0, 0, 0
73775.50, -72.851946, 269.200411, 269.9506, -0.0274064, -0.1416895, 141.60, 1203, 57, 555, 1
73775.50, -72.849184, 269.189950, 272.0736, -0.0993670, -0.0214412, 111.83, 485, 0, 94, 2
73775.50, -72.846422, 269.179489, 258.2634, -0.0391216, -0.0430883, 174.77, 1162, 0, -366, 3
73775.50, -72.848620, 269.187813, 267.1461, -0.1037951, -0.0027577, 7.37, 93, 0, 0, 0
73775.75, -72.851712, 269.201095, 265.7243, -0.0266228, -0.1383851, 172.61, 1201, 37, 554, 1
73775.75, -72.848948, 269.190620, 269.0832, -0.0963049, -0.0210611, 126.23, 469, 1, 93, 2
73775.75, -72.846184, 269.180145, 256.0102, -0.0226395, -0.0378811, 199.84, 1167, 0, -368, 3
73775.75, -72.848391, 269.188509, 264.5514, -0.0994187, 0.0009126, 8.93, 82, 1, 0, 0
73776.00, -72.851490, 269.201814, 261.6411, -0.0253116, -0.1364797, 194.67, 1263, 24, 555, 1
73776.00, -72.848720, 269.191324, 266.4144, -0.0869200, -0.0167363, 136.56, 473, 1, 93, 2
73776.00, -72.845951, 269.180834, 254.2494, -0.0088265, -0.0342413, 215.19, 1175, 0, -369, 3
73776.00, -72.848161, 269.189206, 262.1361, -0.0935725, 0.0015444, 9.86, 71, 0, 0, 0
73776.25, -72.851270, 269.202561, 257.2959, -0.0274572, -0.1357666, 216.84, 1390, 2, 557, 1
73776.25, -72.848497, 269.192045, 263.7512, -0.0871284, -0.0229163, 135.63, 488, 0, 94, 2
73776.25, -72.845723, 269.181530, 252.9393, 0.0001093, -0.0331401, 218.73, 1162, 1, -368, 3
73776.25, -72.847931, 269.189902, 259.8126, -0.0887243, -0.0031416, 12.58, 70, 0, 0, 0
73776.50, -72.851051, 269.203318, 253.6711, -0.0156877, -0.1277025, 206.99, 1437, 11, 559, 1
73776.50, -72.848275, 269.192774, 261.1029, -0.0826197, -0.0232726, 115.78, 484, 2, 96, 2
73776.50, -72.845498, 269.182231, 251.7632, 0.0088579, -0.0318605, 202.02, 1172, 10, -368, 3
73776.50, -72.847702, 269.190599, 257.4434, -0.0849458, -0.0088100, 8.68, 74, 1, 0, 0
73776.75, -72.850832, 269.204045, 250.6131, 0.0061300, -0.1075418, 185.82, 1446, 18, 561, 1
73776.75, -72.848051, 269.193492, 258.4137, -0.0816364, -0.0269059, 103.03, 488, 0, 97, 2
73776.75, -72.845270, 269.182939, 250.4242, 0.0127524, -0.0366176, 158.73, 1115, 35, -367, 3
73776.75, -72.847472, 269.191294, 254.9530, -0.0866537, -0.0162336, 9.47, 76, 0, 0, 0
73777.00, -72.850612, 269.204774, 248.4948, 0.0464336, -0.0647170, 148.99, 1424, 33, 562, 1
73777.00, -72.847828, 269.194213, 255.8313, -0.0788192, -0.0267485, 87.40, 502, 4, 98, 2
73777.00, -72.845044, 269.183652, 249.6127, 0.0145555, -0.0376455, 119.10, 1079, 46, -367, 3
73777.00, -72.847242, 269.191991, 252.3362, -0.0863790, -0.0204460, 7.66, 69, 0, 0, 0
73777.25, -72.850394, 269.205526, 247.4414, 0.0653706, -0.0362800, 107.34, 1394, 49, 565, 1
73777.25, -72.847608, 269.194946, 253.3520, -0.0800511, -0.0263416, 69.69, 489, 16, 99, 2
73777.25, -72.844821, 269.184367, 249.1055, 0.0060226, -0.0433735, 102.72, 1099, 38, -366, 3
73777.25, -72.847012, 269.192686, 249.6155, -0.0876537, -0.0240458, 8.37, 75, 0, 0, 0
73777.50, -72.850180, 269.206279, 247.2705, 0.0647915, -0.0281413, 103.68, 1337, 56, 567, 1
73777.50, -72.847388, 269.195681, 250.8329, -0.0796948, -0.0249768, 71.17, 475, 9, 101, 2
73777.50, -72.844596, 269.185082, 247.8099, 0.0005069, -0.0502650, 63.12, 1104, 56, -365, 3
73777.50, -72.846783, 269.193382, 246.8426, -0.0872176, -0.0236226, 8.26, 81, 0, 0, 0
73777.75, -72.849965, 269.207034, 247.0420, 0.0560106, -0.0276283, 144.19, 1293, 29, 570, 1
73777.75, -72.847169, 269.196419, 248.4610, -0.0763148, -0.0199926, 75.66, 497, 5, 103, 2
73777.75, -72.844374, 269.185804, 246.4756, -0.0051987, -0.0550596, 39.19, 1139, 65, -364, 3
73777.75, -72.846553, 269.194078, 244.1056, -0.0865749, -0.0217923, 8.24, 85, 0, 0, 0
73778.00, -72.849748, 269.207788, 246.5155, 0.0349810, -0.0397690, 173.22, 1256, 17, 572, 1
73778.00, -72.846951, 269.197159, 246.0152, -0.0817999, -0.0237579, 75.22, 503, 1, 105, 2
73778.00, -72.844153, 269.186530, 245.0023, -0.0115383, -0.0594019, 25.92, 1143, 60, -362, 3
73778.00, -72.846323, 269.194773, 241.3917, -0.0859232, -0.0215832, 9.17, 90, 0, 0, 0
73778.25, -72.849531, 269.208538, 245.0886, 0.0151826, -0.0489780, 197.27, 1233, 12, 574, 1
73778.25, -72.846733, 269.197902, 243.2950, -0.0868145, -0.0294308, 74.55, 457, 0, 107, 2
73778.25, -72.843936, 269.187267, 243.3529, -0.0166745, -0.0620791, 23.95, 1124, 30, -360, 3
73778.25, -72.846093, 269.195469, 238.6368, -0.0858359, -0.0249677, 10.26, 79, 0, 0, 0
73778.50, -72.849311, 269.209266, 242.9431, -0.0096640, -0.0612341, 210.89, 1305, 4, 576, 1
73778.50, -72.846513, 269.198632, 240.1930, -0.0973789, -0.0423083, 72.88, 441, 4, 109, 2
73778.50, -72.843715, 269.187998, 241.5441, -0.0204644, -0.0635299, 29.28, 1143, 0, -359, 3
73778.50, -72.845863, 269.196164, 235.7453, -0.0856895, -0.0333065, 13.51, 74, 0, 0, 0
73778.75, -72.849089, 269.210003, 240.1684, -0.0312272, -0.0732342, 205.60, 1345, 3, 578, 1
73778.75, -72.846292, 269.199364, 236.5896, -0.1056679, -0.0545549, 63.14, 444, 13, 110, 2
73778.75, -72.843494, 269.188725, 239.6130, -0.0221319, -0.0635453, 32.33, 1163, 0, -357, 3
73778.75, -72.845633, 269.196859, 232.7115, -0.0821874, -0.0409830, 11.82, 75, 1, 0, 0
73779.00, -72.848868, 269.210733, 236.8488, -0.0463018, -0.0813506, 196.06, 1354, 6, 579, 1
73779.00, -72.846067, 269.200081, 232.7193, -0.1081704, -0.0630731, 57.49, 463, 26, 111, 2
73779.00, -72.843267, 269.189428, 237.6934, -0.0225528, -0.0624527, 37.04, 1187, 0, -357, 3
73779.00, -72.845403, 269.197554, 229.6051, -0.0796094, -0.0494690, 13.83, 79, 1, 0, 0
73779.25, -72.848649, 269.211485, 233.1471, -0.0567888, -0.0876366, 191.24, 1386, 6, 581, 1
73779.25, -72.845844, 269.200805, 228.8102, -0.1047501, -0.0674132, 68.09, 481, 26, 112, 2
73779.25, -72.843039, 269.190124, 235.8459, -0.0210771, -0.0596555, 40.55, 1207, 0, -357, 3
73779.25, -72.845173, 269.198249, 226.4592, -0.0735554, -0.0568042, 14.53, 77, 2, 0, 0
73779.50, -72.848429, 269.212241, 229.7230, -0.0623775, -0.0960523, 175.63, 1336, 24, 584, 1
73779.50, -72.845622, 269.201531, 225.1898, -0.0926197, -0.0662844, 117.98, 508, 10, 114, 2
73779.50, -72.842814, 269.190822, 234.0932, -0.0188105, -0.0565674, 41.88, 1166, 2, -356, 3
73779.50, -72.844943, 269.198943, 223.4449, -0.0599070, -0.0646971, 15.34, 83, 1, 0, 0
73779.75, -72.848213, 269.212970, 226.3252, -0.0694257, -0.1084658, 150.43, 1235, 44, 586, 1
73779.75, -72.845399, 269.202251, 221.6077, -0.0819747, -0.0651366, 168.90, 536, 1, 115, 2
73779.75, -72.842585, 269.191531, 232.4188, -0.0162835, -0.0535743, 41.14, 1104, 16, -356, 3
73779.75, -72.844713, 269.199637, 220.4626, -0.0506658, -0.0700344, 16.20, 92, 0, 0, 0
